timestep,A0A1,A0B0,A1A0,A1A2,A1B1,A2A1,A2A3,A2B2,A3A2,A3B3,B0A0,B0B1,B0C0,B1A1,B1B0,B1B2,B1C1,B2A2,B2B1,B2B3,B2C2,B3A3,B3B2,B3C3,C0B0,C0C1,C0D0,C1B1,C1C0,C1C2,C1D1,C2B2,C2C1,C2C3,C2D2,C3B3,C3C2,C3D3,D0C0,D0D1,D1C1,D1D0,D1D2,D2C2,D2D1,D2D3,D3C3,D3D2
92,1,0,2,1,2,4,0,0,0,0,0,0,0,1,0,2,0,0,9,2,1,0,1,0,1,6,1,0,1,4,0,3,2,0,1,0,0,0,0,0,0,0,1,4,0,0,0,2
93,1,0,2,1,2,4,0,0,0,0,0,0,0,0,0,2,0,0,9,1,1,0,1,0,2,6,1,0,1,4,1,3,2,0,1,0,0,0,1,1,0,0,1,4,0,0,0,2
94,0,0,2,2,2,4,0,0,0,0,0,0,0,0,1,2,0,0,8,1,1,0,0,0,2,4,1,1,1,2,1,3,2,0,1,0,0,0,1,1,0,0,1,4,0,0,0,1
95,0,0,2,2,2,4,0,0,0,0,0,0,0,0,2,2,0,0,9,1,1,0,1,0,2,4,1,1,0,3,1,3,1,2,1,0,0,0,2,1,0,0,1,4,0,0,0,0
96,0,0,2,3,2,4,0,0,0,0,0,0,0,0,2,2,0,0,8,1,1,0,1,0,2,4,1,2,0,3,2,3,1,2,0,0,0,0,2,2,0,0,1,4,1,0,0,0
97,0,0,2,3,2,3,0,0,0,0,0,0,0,0,3,2,0,0,8,0,1,0,1,0,2,2,1,2,0,3,2,3,1,2,0,0,0,0,2,2,0,0,1,4,1,0,0,1
98,0,0,2,4,3,2,0,0,0,0,0,0,0,0,3,2,0,0,8,0,1,0,1,0,1,2,2,2,0,3,2,3,1,2,0,0,0,0,2,2,0,0,1,4,2,0,0,2
99,0,0,1,3,3,2,0,0,0,0,0,0,0,0,5,2,0,0,6,0,1,0,2,0,1,1,2,2,0,3,2,3,1,3,0,0,0,0,2,2,0,0,1,4,2,0,1,2
100,0,0,2,3,4,1,0,1,0,0,0,1,0,0,5,1,0,0,6,0,1,0,2,0,1,0,2,3,0,3,2,3,0,3,0,0,0,0,2,2,0,0,0,4,2,0,1,2
101,1,0,3,3,4,1,0,1,0,0,0,1,0,0,6,1,0,1,5,0,1,0,2,0,1,0,2,3,0,3,2,3,0,3,0,0,0,0,2,2,0,0,0,5,2,0,2,2
102,2,0,2,2,4,1,0,1,0,0,0,1,0,0,5,1,0,1,5,0,1,0,2,0,1,0,1,3,0,3,2,3,0,3,0,0,0,0,1,1,0,0,0,5,1,0,2,2
103,2,0,2,2,5,0,0,2,0,0,0,1,0,0,5,1,1,1,4,0,1,0,2,0,0,0,1,4,0,3,2,3,1,3,0,0,0,0,1,1,0,0,0,5,1,0,2,2
104,2,1,2,2,5,0,0,2,0,0,0,2,1,0,4,1,1,1,4,0,1,0,1,0,1,0,1,4,0,3,3,3,1,3,0,0,0,0,1,2,0,1,0,5,1,0,2,2
105,2,1,2,2,5,0,0,2,0,0,0,2,2,0,4,1,1,1,3,0,1,0,1,0,1,0,1,4,0,2,3,3,2,3,0,0,0,0,1,2,0,1,0,5,0,0,2,1
106,2,1,2,1,6,0,0,2,0,0,1,2,2,0,4,1,1,1,4,0,1,0,1,0,1,0,0,4,0,2,3,3,2,3,0,0,0,0,0,2,0,1,0,5,1,0,2,1
107,2,1,2,1,6,1,0,2,0,0,1,2,3,0,3,1,2,1,3,0,1,0,1,0,1,0,0,4,0,2,3,3,2,3,0,0,0,0,0,2,0,2,0,5,1,0,2,1
108,1,1,2,1,6,2,0,3,0,0,1,1,3,0,2,1,2,1,3,0,1,0,0,0,2,0,0,4,0,2,3,3,2,3,0,0,0,1,0,3,0,2,0,5,1,0,1,0
109,1,1,1,0,6,2,0,3,0,0,1,1,4,0,2,1,2,1,2,0,1,1,0,0,2,0,0,4,0,1,3,3,2,3,0,0,0,1,0,3,0,2,0,5,2,0,1,0
110,1,1,1,1,6,2,0,4,0,0,2,1,4,0,1,1,2,0,4,0,1,2,0,0,2,0,0,4,0,1,3,3,1,2,0,0,0,1,0,2,0,2,0,5,2,0,1,0
111,0,1,0,1,5,2,1,4,0,0,2,1,4,0,1,1,2,0,4,0,1,2,0,0,2,0,0,3,0,0,3,3,1,2,1,0,0,2,0,2,1,2,1,5,2,0,1,0
112,0,1,0,1,5,2,1,4,0,0,2,2,4,0,1,0,2,0,3,0,1,2,0,0,1,0,1,3,1,0,3,3,1,2,1,0,1,2,1,2,1,1,1,5,2,0,0,0
113,0,1,0,2,5,2,1,4,0,0,2,2,3,0,1,0,3,0,2,0,1,2,0,0,2,0,1,3,1,0,3,3,1,2,2,0,1,2,1,2,1,1,2,6,1,0,0,0
114,0,1,0,2,5,2,1,4,0,0,2,2,3,0,0,0,3,0,3,0,1,2,0,0,2,0,1,3,1,0,3,3,0,1,2,0,1,2,1,2,1,1,2,6,1,0,0,0
115,0,1,0,2,5,2,1,4,0,0,1,3,2,0,1,0,4,0,3,0,1,2,0,0,3,0,1,3,1,0,3,3,0,1,2,0,2,2,1,2,1,2,2,7,1,0,0,0
116,0,1,0,2,5,1,1,4,0,0,1,3,2,0,1,0,4,0,3,0,1,2,0,0,3,1,1,2,2,0,2,3,0,1,2,0,2,1,1,2,1,2,2,7,1,0,0,0
117,0,1,0,1,5,1,1,4,0,0,1,3,1,0,2,0,4,0,3,0,1,1,0,0,2,1,2,2,2,0,2,3,0,1,2,0,2,1,2,2,1,1,2,8,0,0,0,0
118,0,1,0,1,5,0,1,5,0,0,1,4,1,0,3,0,4,0,2,0,1,1,0,0,2,1,2,2,2,0,2,3,0,0,2,0,2,1,2,2,1,1,2,8,0,0,0,0
119,0,1,0,1,6,0,1,5,1,0,1,4,1,0,3,0,4,0,1,0,1,1,0,0,2,1,2,2,2,1,2,3,0,0,2,1,1,1,2,2,1,2,1,8,0,0,0,0
120,0,1,0,0,6,0,0,5,1,0,0,3,0,0,4,0,4,0,1,0,1,0,0,0,2,1,2,2,2,1,2,3,0,0,2,1,1,0,1,2,1,2,1,8,0,0,0,0
121,0,1,0,0,7,0,0,6,1,1,0,2,0,0,4,0,4,0,1,0,1,0,0,0,2,1,2,2,2,2,2,3,1,0,1,2,2,0,1,1,1,2,1,8,0,0,0,0
122,0,0,0,0,7,0,0,6,2,1,0,2,0,0,5,0,4,0,1,0,1,0,0,0,2,1,2,2,2,2,2,3,1,0,1,2,2,0,1,1,2,2,1,9,0,0,0,0
123,0,0,0,0,7,0,0,6,2,1,0,2,0,0,4,1,3,0,1,0,1,0,0,0,2,1,2,2,2,2,2,3,1,0,1,2,2,1,1,1,2,2,0,9,1,0,0,0
124,0,0,0,0,7,0,0,6,2,1,1,2,0,0,4,1,3,0,0,0,1,0,0,0,2,0,2,2,2,2,2,3,1,0,0,2,2,1,2,0,2,1,1,9,1,0,0,0
125,1,0,0,0,7,0,0,6,2,1,1,2,0,0,3,1,3,0,0,0,1,0,0,0,1,0,1,2,2,2,3,3,1,0,0,2,2,2,2,0,2,1,1,9,2,0,0,0
126,2,0,0,0,7,0,0,6,2,1,1,2,0,0,4,1,3,0,0,0,1,0,0,0,1,0,1,2,2,2,2,3,2,0,0,1,2,2,1,0,2,1,2,10,2,0,0,0
127,2,0,0,0,7,0,0,6,1,1,1,3,0,0,4,1,3,0,0,0,1,0,0,0,1,0,0,2,2,1,2,3,2,0,0,1,2,2,1,0,2,0,2,10,2,0,0,0
128,3,0,0,0,7,0,0,6,1,1,1,3,0,0,3,1,2,0,0,0,1,0,0,0,2,0,0,2,2,1,2,3,2,0,0,1,2,2,2,0,2,0,2,10,2,0,0,0
129,3,0,0,0,7,0,0,6,1,1,1,3,0,0,2,2,2,0,0,0,1,0,0,0,1,0,0,2,2,1,1,3,1,0,0,0,2,2,2,0,2,0,3,10,2,0,0,0
130,4,0,0,0,7,0,0,7,0,0,2,3,0,0,2,2,2,0,0,0,1,0,0,0,1,0,0,2,2,1,1,3,1,0,0,0,1,2,2,0,2,0,3,10,2,0,0,0
131,4,0,0,0,7,0,0,7,0,0,2,4,0,0,3,1,2,0,0,0,1,0,0,0,1,0,0,2,2,1,2,3,1,0,0,0,1,2,2,0,2,0,4,10,2,0,0,0
132,4,0,0,0,7,0,0,7,0,0,2,4,0,0,3,1,2,0,0,0,1,0,0,0,1,1,0,2,2,1,2,3,2,0,0,0,0,2,2,0,2,0,3,10,1,0,0,0
